,country,year,co2,AverageTemperature,population,share_global_co2,AverageTemperatureUncertainty,gdp,HDI,LandMaxTemperature,LandMinTemperature
96,Sweden,1950,28.656,12.8,7009913.0,0.48,0.267,75344388000.0,0.45,14.17375,2.578583333333333
97,Switzerland,1950,10.233,16.908,4668089.0,0.17,0.263,54173630494.4,0.44,14.17375,2.578583333333333
98,Syria,1950,0.414,25.621,3413325.0,0.01,0.495,13413810000.0,0.16,14.17375,2.578583333333333
99,Taiwan,1950,3.784,24.937,7602355.0,0.06,0.2,10885760000.0,0.21,14.17375,2.578583333333333
100,Tanzania,1950,0.498,20.244,7649765.0,0.01,0.225,5364008624.0,0.06,14.17375,2.578583333333333
101,Thailand,1950,0.956,27.481,20710353.0,0.02,0.203,26094199656.0,0.18,14.17375,2.578583333333333
102,Togo,1950,0.026,26.398000000000003,1395451.0,0.0,0.143,1019640000.0,0.07,14.17375,2.578583333333333
103,Tunisia,1950,1.219,28.388,3605312.0,0.02,0.268,6250082170.0,0.12,14.17375,2.578583333333333
104,Turkey,1950,9.488,18.683,21408398.0,0.16,0.186,43911887481.0,0.16,14.17375,2.578583333333333
105,Uganda,1950,0.106,22.548,5158191.0,0.0,0.389,6046325010.0,0.11,14.17375,2.578583333333333
106,United Kingdom,1950,500.792,14.162,50616019.0,8.34,0.255,554454747000.0,0.46,14.17375,2.578583333333333
107,United States,1950,2541.361,18.408,158804397.0,42.33,0.144,2320610040000.0,0.47,14.17375,2.578583333333333
108,Uruguay,1950,2.454,12.358,2238501.0,0.04,0.418,15392839125.0,0.35,14.17375,2.578583333333333
109,Venezuela,1950,38.276,24.436,5481976.0,0.64,0.378,42386208772.0,0.23,14.17375,2.578583333333333
110,Vietnam,1950,1.48,26.912,24809909.0,0.02,0.351,26590203056.0,0.09,14.17375,2.578583333333333
111,Zambia,1950,2.33,16.738,2310436.0,0.04,0.386,2690862000.0,0.11,14.17375,2.578583333333333
112,Zimbabwe,1950,3.18,16.198,2746852.0,0.05,0.281,3186969667.0,0.13,14.17375,2.578583333333333
113,Afghanistan,1955,0.154,24.112,8270992.0,0.0,0.606,11078186000.0,0.05,14.329083333333331,2.8614166666666674
114,Albania,1955,0.663,19.994,1419991.0,0.01,0.25,2620052648.0,0.24,14.329083333333331,2.8614166666666674
115,Algeria,1955,4.607,31.907,9774280.0,0.06,0.35,22665782853.0,0.13,14.329083333333331,2.8614166666666674
116,Angola,1955,0.414,18.603,5043251.0,0.01,0.3720000000000001,8094498090.0,0.06,14.329083333333331,2.8614166666666674
117,Argentina,1955,39.56,7.532,18789415.0,0.53,0.155,158009449708.0,0.36,14.329083333333331,2.8614166666666674
118,Australia,1955,70.674,15.425999999999998,9165700.0,0.95,0.26,118700328165.0,0.5,14.329083333333331,2.8614166666666674
119,Austria,1955,29.07,13.665,6953404.0,0.39,0.241,55950211790.0,0.44,14.329083333333331,2.8614166666666674
120,Bahamas,1955,0.128,27.334,88628.0,0.0,0.248,,0.35,14.329083333333331,2.8614166666666674
121,Bahrain,1955,1.403,33.173,133580.0,0.02,0.384,522835542.0,0.19,14.329083333333331,2.8614166666666674
122,Bangladesh,1955,1.379,28.3,42086305.0,0.02,0.201,40166606430.0,0.1,14.329083333333331,2.8614166666666674
123,Barbados,1955,0.128,27.273000000000003,227132.0,0.0,0.341,938191000.0,0.35,14.329083333333331,2.8614166666666674
124,Belgium,1955,92.017,15.519,8887275.0,1.24,0.287,88773434750.0,0.43,14.329083333333331,2.8614166666666674
125,Belize,1955,0.029,27.006,79867.0,0.0,0.486,,0.27,14.329083333333331,2.8614166666666674
126,Bolivia,1955,0.931,18.58,3331036.0,0.01,0.23,9081514694.0,0.15,14.329083333333331,2.8614166666666674
127,Brazil,1955,34.024,23.73,62533920.0,0.46,0.24,165244235550.0,0.21,14.329083333333331,2.8614166666666674
128,Bulgaria,1955,12.092,18.389,7561487.0,0.16,0.246,25677945600.0,0.34,14.329083333333331,2.8614166666666674
129,Burundi,1955,0.008,19.788,2537150.0,0.0,0.161,1736391826.0,0.07,14.329083333333331,2.8614166666666674
130,Cambodia,1955,0.103,27.216,5045283.0,0.0,0.165,4170306322.0,0.12,14.329083333333331,2.8614166666666674
131,Cameroon,1955,0.234,23.915,4707000.0,0.0,0.174,6263420064.0,0.08,14.329083333333331,2.8614166666666674
132,Canada,1955,169.473,10.792,15673764.0,2.28,0.249,209810253632.0,0.5,14.329083333333331,2.8614166666666674
133,Cape Verde,1955,0.022,24.763,197193.0,0.0,0.241,174746000.0,0.12,14.329083333333331,2.8614166666666674
134,Chile,1955,11.597,4.688,7322655.0,0.16,0.306,42759068729.0,0.3,14.329083333333331,2.8614166666666674
135,China,1955,190.521,17.75,612241552.0,2.56,0.23,681084945000.0,0.16,14.329083333333331,2.8614166666666674
136,Colombia,1955,11.944,24.306,13774999.0,0.16,0.27,51404936115.0,0.23,14.329083333333331,2.8614166666666674
137,Costa Rica,1955,0.348,26.049,1110088.0,0.0,0.6609999999999999,4045617222.0,0.29,14.329083333333331,2.8614166666666674
138,Cuba,1955,6.777,27.039,6539463.0,0.09,0.343,16833078000.0,0.29,14.329083333333331,2.8614166666666674
139,Cyprus,1955,0.451,25.596,529970.0,0.01,0.172,1780800000.0,0.33,14.329083333333331,2.8614166666666674
140,Denmark,1955,27.065,-4.021999999999999,4440779.0,0.36,0.535,52326932000.0,0.47,14.329083333333331,2.8614166666666674
141,Djibouti,1955,0.037,32.436,69593.0,0.0,0.7440000000000001,338850000.0,0.09,14.329083333333331,2.8614166666666674
142,Dominican Republic,1955,0.915,26.439,2781338.0,0.01,0.35,5162466702.0,0.2,14.329083333333331,2.8614166666666674
143,Ecuador,1955,1.198,20.984,3956625.0,0.02,0.44,12868194251.0,0.22,14.329083333333331,2.8614166666666674
144,Egypt,1955,10.642,30.361,23223125.0,0.14,0.278,33660148597.0,0.14,14.329083333333331,2.8614166666666674
145,El Salvador,1955,0.461,25.775,2432877.0,0.01,0.429,5752750010.0,0.18,14.329083333333331,2.8614166666666674
146,Equatorial Guinea,1955,0.037,24.324,239866.0,0.0,0.12,206790000.0,0.12,14.329083333333331,2.8614166666666674
147,Eritrea,1955,,29.951,899746.0,,0.628,,0.05,14.329083333333331,2.8614166666666674
148,Ethiopia,1955,0.227,23.806,19947291.0,0.0,0.583,15096087840.43,0.04,14.329083333333331,2.8614166666666674
149,Finland,1955,10.925,10.034,4238274.0,0.15,0.236,35081911600.0,0.45,14.329083333333331,2.8614166666666674
150,France,1955,239.231,17.811,43411377.0,3.21,0.25,436918058000.0,0.45,14.329083333333331,2.8614166666666674
151,Gambia,1955,0.015,29.344,329662.0,0.0,0.224,328644000.0,0.06,14.329083333333331,2.8614166666666674
152,Germany,1955,723.498,14.791,71537454.0,9.72,0.168,648607454880.0,0.44,14.329083333333331,2.8614166666666674
153,Ghana,1955,1.187,25.826,5730592.0,0.02,0.14,11570983278.0,0.14,14.329083333333331,2.8614166666666674
154,Greece,1955,5.953,22.041,8011132.0,0.08,0.162,31917910766.0,0.33,14.329083333333331,2.8614166666666674
155,Guatemala,1955,0.916,24.991,3625305.0,0.01,0.249,11053790000.0,0.15,14.329083333333331,2.8614166666666674
156,Guyana,1955,0.517,25.607,482562.0,0.01,0.4370000000000001,,0.27,14.329083333333331,2.8614166666666674
157,Haiti,1955,0.267,27.163,3514069.0,0.0,0.292,5976240000.0,0.11,14.329083333333331,2.8614166666666674
158,Honduras,1955,0.436,26.135,1771357.0,0.01,0.325,3301166934.0,0.16,14.329083333333331,2.8614166666666674
159,Hong Kong,1955,1.879,27.21,2472665.0,0.03,0.218,10509110775.92,0.27,14.329083333333331,2.8614166666666674
160,Hungary,1955,35.705,18.148,9828498.0,0.48,0.318,48083550000.0,0.39,14.329083333333331,2.8614166666666674
161,India,1955,78.879,29.15,409880606.0,1.06,0.216,423654000000.0,0.12,14.329083333333331,2.8614166666666674
162,Indonesia,1955,20.844,25.638,77273427.0,0.28,0.209,136433231674.14,0.13,14.329083333333331,2.8614166666666674
163,Iran,1955,15.813,26.651000000000003,19294136.0,0.21,0.444,44862808104.0,0.12,14.329083333333331,2.8614166666666674
164,Iraq,1955,4.099,32.798,6502661.0,0.06,0.362,21623615739.0,0.14,14.329083333333331,2.8614166666666674
165,Ireland,1955,11.715,13.196,2873410.0,0.16,0.316,18219998984.0,0.43,14.329083333333331,2.8614166666666674
166,Israel,1955,4.815,26.651,1691873.0,0.06,0.428,10453216768.0,0.37,14.329083333333331,2.8614166666666674
167,Italy,1955,73.266,19.185,48335577.0,0.98,0.225,362461749000.0,0.36,14.329083333333331,2.8614166666666674
168,Jamaica,1955,0.985,26.769,1540957.0,0.01,0.289,4793952100.0,0.28,14.329083333333331,2.8614166666666674
169,Japan,1955,141.875,19.845,89018255.0,1.91,0.217,396713120020.0,0.42,14.329083333333331,2.8614166666666674
170,Jordan,1955,0.381,28.124,682975.0,0.01,0.424,1779213450.0,0.18,14.329083333333331,2.8614166666666674
171,Kenya,1955,1.985,22.917,6987658.0,0.03,0.335,8046894856.0,0.12,14.329083333333331,2.8614166666666674
172,Kuwait,1955,1.847,34.465,181893.0,0.02,0.7709999999999999,9596417463.0,0.24,14.329083333333331,2.8614166666666674
173,Laos,1955,0.026,26.637,1890850.0,0.0,0.322,1532826000.0,0.1,14.329083333333331,2.8614166666666674
174,Lebanon,1955,1.621,25.311,1532120.0,0.02,0.378,10942504850.0,0.25,14.329083333333331,2.8614166666666674
175,Liberia,1955,0.059,25.062,1011367.0,0.0,0.149,3205312000.0,0.09,14.329083333333331,2.8614166666666674
176,Libya,1955,0.429,30.516,1245355.0,0.01,0.452,905837325.0,0.13,14.329083333333331,2.8614166666666674
177,Madagascar,1955,0.304,19.411,4543540.0,0.0,0.285,8389455789.0,0.13,14.329083333333331,2.8614166666666674
178,Malawi,1955,0.411,17.880000000000006,3270545.0,0.01,0.187,1741719420.0,0.09,14.329083333333331,2.8614166666666674
179,Malaysia,1955,7.43,26.11,7038910.0,0.1,0.161,17014372440.0,0.21,14.329083333333331,2.8614166666666674
180,Mauritius,1955,0.128,21.509,570650.0,0.0,0.316,2340984555.0,0.24,14.329083333333331,2.8614166666666674
181,Mexico,1955,39.662,25.288,32350593.0,0.53,0.194,133695450840.0,0.24,14.329083333333331,2.8614166666666674
182,Morocco,1955,3.555,24.164,10502658.0,0.05,0.505,25487884428.0,0.12,14.329083333333331,2.8614166666666674
183,Mozambique,1955,1.373,19.716,6508400.0,0.02,0.163,13610703312.0,0.09,14.329083333333331,2.8614166666666674
184,Nepal,1955,0.044,21.247,9316916.0,0.0,0.47,8474226000.0,0.05,14.329083333333331,2.8614166666666674
185,Netherlands,1955,60.986,14.445,10709621.0,0.82,0.203,125548332876.0,0.49,14.329083333333331,2.8614166666666674
186,New Zealand,1955,9.393,5.632000000000001,2136388.0,0.13,0.327,29709824544.0,0.52,14.329083333333331,2.8614166666666674
187,Nicaragua,1955,0.392,26.712,1508103.0,0.01,0.595,4198776000.0,0.17,14.329083333333331,2.8614166666666674
188,Nigeria,1955,2.697,26.687,41086100.0,0.04,0.214,49579611732.0,0.09,14.329083333333331,2.8614166666666674
189,Norway,1955,11.414,6.7780000000000005,3430335.0,0.15,0.28,34424895996.0,0.48,14.329083333333331,2.8614166666666674
190,Pakistan,1955,7.437,29.789,40488032.0,0.1,0.145,44967658340.0,0.11,14.329083333333331,2.8614166666666674
191,Panama,1955,0.714,26.433000000000003,981083.0,0.01,0.293,2796426000.0,0.27,14.329083333333331,2.8614166666666674
192,Paraguay,1955,0.19,19.368,1673667.0,0.0,0.239,3870313623.0,0.28,14.329083333333331,2.8614166666666674
193,Peru,1955,6.124,18.875,8858392.0,0.08,0.301,37365493500.0,0.21,14.329083333333331,2.8614166666666674
194,Philippines,1955,6.616,27.196,22177060.0,0.09,0.189,53157364075.0,0.24,14.329083333333331,2.8614166666666674
195,Poland,1955,154.202,15.375,27269742.0,2.07,0.166,121240855272.0,0.36,14.329083333333331,2.8614166666666674
196,Portugal,1955,6.46,19.695,8625538.0,0.09,0.324,34292307000.0,0.26,14.329083333333331,2.8614166666666674
197,Puerto Rico,1955,,26.698,2195521.0,,0.242,9497250000.0,0.37,14.329083333333331,2.8614166666666674
198,Qatar,1955,0.418,33.766,35863.0,0.01,0.496,1751959968.0,0.2,14.329083333333331,2.8614166666666674
199,Romania,1955,36.782,17.212999999999994,17483935.0,0.49,0.28,24584175000.0,0.29,14.329083333333331,2.8614166666666674
200,Russia,1955,629.836,12.042,111355301.0,8.46,0.219,,0.38,14.329083333333331,2.8614166666666674
201,Rwanda,1955,0.014,19.143,2527293.0,0.0,0.295,3070633536.0,0.1,14.329083333333331,2.8614166666666674
202,Saudi Arabia,1955,2.114,33.493,3558165.0,0.03,0.585,19764909444.0,0.07,14.329083333333331,2.8614166666666674
203,Serbia,1955,9.988,18.5,7234917.0,0.13,0.309,16313854024.0,0.29,14.329083333333331,2.8614166666666674
204,Sierra Leone,1955,0.183,25.745,2165816.0,0.0,0.176,2331252000.0,0.06,14.329083333333331,2.8614166666666674
205,Singapore,1955,4.053,27.4,1305103.0,0.05,0.228,3846003000.0,0.27,14.329083333333331,2.8614166666666674
206,South Africa,1955,82.936,10.858,15206501.0,1.11,0.3229999999999999,69327533561.0,0.21,14.329083333333331,2.8614166666666674
207,South Korea,1955,6.445,21.782,21514564.0,0.09,0.253,30416827465.822,0.23,14.329083333333331,2.8614166666666674
208,Spain,1955,40.272,19.801,29048392.0,0.54,0.231,130233865290.0,0.34,14.329083333333331,2.8614166666666674
209,Sri Lanka,1955,1.663,27.264,8778441.0,0.02,0.258,18526443049.0,0.28,14.329083333333331,2.8614166666666674
210,Sudan,1955,0.85,30.125,6549294.0,0.01,0.335,10491222646.416,0.08,14.329083333333331,2.8614166666666674
211,Sweden,1955,39.096,10.072,7262625.0,0.53,0.317,87579720000.0,0.48,14.329083333333331,2.8614166666666674
212,Switzerland,1955,13.614,14.161,4957070.0,0.18,0.11,69717449244.0,0.48,14.329083333333331,2.8614166666666674
213,Syria,1955,1.644,28.47,3911497.0,0.02,0.374,19077832424.0,0.18,14.329083333333331,2.8614166666666674
214,Taiwan,1955,7.197,25.753,9189972.0,0.1,0.178,17039840000.0,0.26,14.329083333333331,2.8614166666666674
215,Tanzania,1955,0.557,20.424,8729667.0,0.01,0.178,6575457130.0,0.09,14.329083333333331,2.8614166666666674
216,Thailand,1955,2.373,27.197,23711122.0,0.03,0.183,35317681896.0,0.21,14.329083333333331,2.8614166666666674
217,Togo,1955,0.04,25.828000000000007,1473835.0,0.0,0.197,1220120000.0,0.08,14.329083333333331,2.8614166666666674
218,Tunisia,1955,1.596,27.475,3943544.0,0.02,0.345,7134355970.0,0.13,14.329083333333331,2.8614166666666674
219,Turkey,1955,13.619,20.707,24270599.0,0.18,0.126,66494148534.0,0.18,14.329083333333331,2.8614166666666674
220,Uganda,1955,0.264,22.426,5888791.0,0.0,0.388,6765993234.0,0.12,14.329083333333331,2.8614166666666674
221,United Kingdom,1955,576.952,12.165,51063907.0,7.75,0.246,638913786000.0,0.49,14.329083333333331,2.8614166666666674
222,United States,1955,2728.348,17.528,171685337.0,36.66,0.157,2882221470000.0,0.49,14.329083333333331,2.8614166666666674
223,Uruguay,1955,3.919,10.265999999999998,2372564.0,0.05,0.242,19239239936.0,0.37,14.329083333333331,2.8614166666666674
224,Venezuela,1955,59.751,24.88,6744704.0,0.8,0.51,64796388997.0,0.25,14.329083333333331,2.8614166666666674
225,Vietnam,1955,3.524,26.737,28147442.0,0.05,0.219,33146985285.0,0.14,14.329083333333331,2.8614166666666674
226,Zambia,1955,4.085,17.320999999999998,2644976.0,0.05,0.186,3365337000.0,0.13,14.329083333333331,2.8614166666666674
227,Zimbabwe,1955,5.574,16.016000000000002,3213289.0,0.07,0.1639999999999999,4390813896.0,0.15,14.329083333333331,2.8614166666666674
228,Afghanistan,1960,0.414,25.436,8996967.0,0.0,0.39,13033254000.0,0.06,14.317416666666665,2.932583333333333
229,Albania,1960,2.023,19.981,1636091.0,0.02,0.369,3754262682.0,0.27,14.317416666666665,2.932583333333333
230,Algeria,1960,6.151,31.219,11057864.0,0.07,0.7070000000000001,36306130432.0,0.15,14.317416666666665,2.932583333333333
231,Angola,1960,0.549,19.153,5454938.0,0.01,0.275,9580295968.0,0.06,14.317416666666665,2.932583333333333
232,Argentina,1960,48.764,8.216999999999999,20481781.0,0.52,0.217,182678455749.0,0.38,14.317416666666665,2.932583333333333
233,Australia,1960,88.119,14.11,10242070.0,0.94,0.286,145192518549.0,0.51,14.317416666666665,2.932583333333333
234,Austria,1960,30.784,14.87,7070773.0,0.33,0.275,73229917867.0,0.46,14.317416666666665,2.932583333333333
235,Bahamas,1960,0.41,27.362,109532.0,0.0,0.347,,0.37,14.317416666666665,2.932583333333333
